"Language","original","english","spanish","german","russian","chinesesimp"
"STR_LFPG_INTERCOM_KIT","Intercom Kit","Intercom Kit","Kit Intercomunicador","Intercom-Kit","Комплект интеркома","对讲机套件"
"STR_LFPG_INTERCOM_KIT_DESC","A radio intercom with RF toggle capability. Place to deploy.","A radio intercom with RF toggle capability. Place to deploy.","Un intercomunicador con capacidad RF. Colocar para desplegar.","Ein Funk-Intercom mit RF-Schaltfunktion. Platzieren zum Aufstellen.","Радиоинтерком с возможностью RF-переключения. Установите для развертывания.","带射频切换功能的对讲机。放置以部署。"
"STR_LFPG_INTERCOM","Intercom","Intercom","Intercomunicador","Intercom","Интерком","对讲机"
"STR_LFPG_INTERCOM_DESC","RF broadcaster. Toggle nearby RF devices. Install a radio for bidirectional VOIP. 10 u/s (T1), 20 u/s (T2).","RF broadcaster. Toggle nearby RF devices. Install a radio for bidirectional VOIP. 10 u/s (T1), 20 u/s (T2).","Transmisor RF. Activa dispositivos RF cercanos. Instala una radio para VOIP bidireccional. 10 u/s (T1), 20 u/s (T2).","RF-Sender. Schaltet nahe RF-Geräte um. Radio für bidirektionales VOIP installieren. 10 E/s (T1), 20 E/s (T2).","RF-передатчик. Переключает ближайшие RF-устройства. Установите радио для двустороннего VOIP. 10 ед/с (T1), 20 ед/с (T2).","射频广播器。切换附近射频设备。安装无线电实现双向语音。10 u/s（T1），20 u/s（T2）。"
"STR_LFPG_ACTION_TOGGLE_INTERCOM","Toggle Intercom","Toggle Intercom","Activar/Desactivar Intercomunicador","Intercom umschalten","Переключить интерком","切换对讲机"
"STR_LFPG_ACTION_PLACE_INTERCOM","Place Intercom","Place Intercom","Colocar Intercomunicador","Intercom platzieren","Установить интерком","放置对讲机"
"STR_LFPG_ACTION_RF_TOGGLE","RF Toggle","RF Toggle","Toggle RF","RF-Schalter","RF-переключение","射频切换"
"STR_LFPG_ACTION_INSTALL_MIC","Install Microphone","Install Microphone","Instalar Micrófono","Mikrofon installieren","Установить микрофон","安装麦克风"
"STR_LFPG_ACTION_TOGGLE_BROADCAST","Toggle Broadcast","Toggle Broadcast","Activar/Desactivar Transmisión","Übertragung umschalten","Переключить трансляцию","切换广播"
"STR_LFPG_ACTION_CYCLE_FREQ","Tune Frequency","Tune Frequency","Cambiar Frecuencia","Frequenz ändern","Сменить частоту","调频"
"STR_LFPG_ACTION_INTERCOM_ON","Turn ON Intercom","Turn ON Intercom","Encender Intercomunicador","Intercom einschalten","Включить интерком","开启对讲机"
"STR_LFPG_ACTION_INTERCOM_OFF","Turn OFF Intercom","Turn OFF Intercom","Apagar Intercomunicador","Intercom ausschalten","Выключить интерком","关闭对讲机"
"STR_LFPG_ACTION_SWITCH_ON","Turn ON Switch","Turn ON Switch","Encender Interruptor","Schalter einschalten","Включить переключатель","开启开关"
"STR_LFPG_ACTION_SWITCH_OFF","Turn OFF Switch","Turn OFF Switch","Apagar Interruptor","Schalter ausschalten","Выключить переключатель","关闭开关"
"STR_LFPG_MemoryCell_Kit","Memory Cell Kit","Memory Cell Kit","Kit Célula de Memoria","Speicherzellen Kit","Комплект ячейки памяти","记忆单元套件"
"STR_LFPG_MemoryCell_Kit_Desc","A stateful memory cell. Toggle, Set, Reset inputs control output routing.","A stateful memory cell. Toggle, Set, Reset inputs control output routing.","Célula de memoria con estado. Entradas Toggle, Set, Reset controlan el enrutamiento de salida.","Zustandsbehaftete Speicherzelle. Toggle-, Set-, Reset-Eingänge steuern das Ausgangs-Routing.","Ячейка памяти с состоянием. Входы Toggle, Set, Reset управляют маршрутизацией выхода.","有状态记忆单元。切换、置位、复位输入控制输出路由。"
"STR_LFPG_MemoryCell","Memory Cell","Memory Cell","Célula de Memoria","Speicherzelle","Ячейка памяти","记忆单元"
"STR_LFPG_MemoryCell_Desc","Stateful latch: 4 inputs (power, toggle, reset, set) + 2 outputs (normal, inverted). 20 u/s capacity.","Stateful latch: 4 inputs (power, toggle, reset, set) + 2 outputs (normal, inverted). 20 u/s capacity.","Latch con estado: 4 entradas (alimentación, toggle, reset, set) + 2 salidas (normal, invertida). 20 u/s.","Zustandsspeicher: 4 Eingänge (Strom, Toggle, Reset, Set) + 2 Ausgänge (normal, invertiert). 20 u/s.","Защёлка: 4 входа (питание, переключение, сброс, установка) + 2 выхода (нормальный, инвертированный). 20 ед/с.","有状态锁存器：4 输入（电源、切换、复位、置位）+ 2 输出（正常、反相）。容量 20 u/s。"
"STR_LFPG_SWITCHV2REMOTE_KIT","Switch V2 Remote Kit","Switch V2 Remote Kit","Kit Interruptor V2 Remoto","Switch V2 Remote Kit","Switch V2 Remote Kit","V2 远程开关套件"
"STR_LFPG_SWITCHV2REMOTE_KIT_DESC","An electrical toggle switch with antenna. Can be toggled remotely via RF signal from an Intercom.","An electrical toggle switch with antenna. Can be toggled remotely via RF signal from an Intercom.","Un interruptor de palanca con antena. Se puede activar remotamente por RF desde un Intercomunicador.","An electrical toggle switch with antenna. Can be toggled remotely via RF signal from an Intercom.","An electrical toggle switch with antenna. Can be toggled remotely via RF signal from an Intercom.","带天线的拨杆开关。可通过对讲机射频信号远程切换。"
"STR_LFPG_SWITCHV2REMOTE","Switch V2 Remote","Switch V2 Remote","Interruptor V2 Remoto","Switch V2 Remote","Switch V2 Remote","V2 远程开关"
"STR_LFPG_SWITCHV2REMOTE_DESC","A lever toggle switch with LED indicator and antenna. Passes or blocks power. Can be toggled remotely via RF.","A lever toggle switch with LED indicator and antenna. Passes or blocks power. Can be toggled remotely via RF.","Un interruptor de palanca con LED indicador y antena. Pasa o bloquea corriente. Se puede activar remotamente por RF.","A lever toggle switch with LED indicator and antenna. Passes or blocks power. Can be toggled remotely via RF.","A lever toggle switch with LED indicator and antenna. Passes or blocks power. Can be toggled remotely via RF.","带 LED 指示灯和天线的拨杆开关。通断电力。可通过射频远程切换。"
"STR_LFPG_FridgeKit","Fridge Kit","Fridge Kit","Kit de Nevera","Kühlschrank-Bausatz","Набор холодильника","冰箱套件"
"STR_LFPG_FridgeKit_Desc","A kit to deploy a powered fridge. Connect to the power grid to keep food cold.","A kit to deploy a powered fridge. Connect to the power grid to keep food cold.","Kit para desplegar una nevera eléctrica. Conéctala a la red para mantener la comida fría.","Ein Bausatz für einen Kühlschrank. An das Stromnetz anschließen, um Lebensmittel kalt zu halten.","Набор для установки холодильника. Подключите к электросети для охлаждения продуктов.","用于部署冰箱的套件。连接电网以保鲜食物。"
"STR_LFPG_Fridge","Fridge","Fridge","Nevera","Kühlschrank","Холодильник","冰箱"
"STR_LFPG_Fridge_Desc","A powered fridge that keeps food and drinks cold at 5C. Requires 20 u/s from the power grid. Close the door for cooling.","A powered fridge that keeps food and drinks cold at 5C. Requires 20 u/s from the power grid. Close the door for cooling.","Nevera eléctrica que mantiene comida y bebida a 5C. Requiere 20 u/s de la red eléctrica. Cierra la puerta para enfriar.","Ein Kühlschrank, der Lebensmittel bei 5°C kühlt. Benötigt 20 E/s aus dem Stromnetz. Tür schließen zum Kühlen.","Холодильник, поддерживающий температуру 5°C. Требует 20 ед/с. Закройте дверь для охлаждения.","保持食物和饮料在 5°C 的电动冰箱。需要 20 u/s 电力。关门以制冷。"
"STR_LFPG_ACTION_TOGGLE_FRIDGE","Toggle Fridge","Toggle Fridge","Abrir/Cerrar Nevera","Kühlschrank öffnen/schließen","Открыть/Закрыть холодильник","切换冰箱"
"STR_LFPG_ACTION_OPEN_FRIDGE","Open Fridge","Open Fridge","Abrir Nevera","Kühlschrank öffnen","Открыть холодильник","打开冰箱"
"STR_LFPG_ACTION_CLOSE_FRIDGE","Close Fridge","Close Fridge","Cerrar Nevera","Kühlschrank schließen","Закрыть холодильник","关闭冰箱"
"STR_LFPG_SWITCHREMOTE_KIT","Push Button Remote Kit","Push Button Remote Kit","Kit Botón Remoto","Push Button Remote Kit","Push Button Remote Kit","远程按钮套件"
"STR_LFPG_SWITCHREMOTE_KIT_DESC","A momentary push button with RF antenna. Place to deploy.","A momentary push button with RF antenna. Place to deploy.","Un botón momentáneo con antena RF. Colócalo para desplegar.","A momentary push button with RF antenna. Place to deploy.","A momentary push button with RF antenna. Place to deploy.","带射频天线的瞬时按钮。放置以部署。"
"STR_LFPG_SWITCHREMOTE","Push Button Remote","Push Button Remote","Botón Remoto","Push Button Remote","Push Button Remote","远程按钮"
"STR_LFPG_SWITCHREMOTE_DESC","A momentary push button with RF capability. Pulses power for 2 seconds, toggleable remotely via Intercom.","A momentary push button with RF capability. Pulses power for 2 seconds, toggleable remotely via Intercom.","Un botón momentáneo con capacidad RF. Pulsa energía durante 2 segundos, conmutable remotamente vía Intercomunicador.","A momentary push button with RF capability. Pulses power for 2 seconds, toggleable remotely via Intercom.","A momentary push button with RF capability. Pulses power for 2 seconds, toggleable remotely via Intercom.","带射频功能的瞬时按钮。通电脉冲 2 秒，可通过对讲机远程切换。"
"STR_LFPG_SPRINKLER_KIT","Sprinkler Kit","Sprinkler Kit","Kit de Aspersor","Sprinkler-Kit","Набор разбрызгивателя","喷洒器套件"
"STR_LFPG_SPRINKLER_KIT_DESC","Kit to deploy a sprinkler.","Kit to deploy a sprinkler.","Kit para instalar un aspersor.","Kit to deploy a sprinkler.","Kit to deploy a sprinkler.","用于部署喷洒器的套件。"
"STR_LFPG_SPRINKLER","Sprinkler","Sprinkler","Aspersor","Sprinkler","Разбрызгиватель","喷洒器"
"STR_LFPG_SPRINKLER_DESC","Automates crop watering. 5 u/s. Connect to Water Pump.","Automates crop watering. 5 u/s. Connect to Water Pump.","Automatiza el riego de cultivos. 5 u/s. Conectar a Bomba de Agua.","Automatisiert die Bewässerung. 5 u/s. An Wasserpumpe anschließen.","Автоматизирует полив. 5 u/s. Подключить к водяному насосу.","自动灌溉作物。5 u/s。连接水泵使用。"
"STR_LFPG_SPRINKLER_STATUS_ACTIVE","Sprinkler: Active","Sprinkler: Active","Aspersor: Activo","Sprinkler: Aktiv","Разбрызгиватель: Активен","喷洒器：运行中"
"STR_LFPG_SPRINKLER_STATUS_NO_POWER","Sprinkler: No power","Sprinkler: No power","Aspersor: Sin electricidad","Sprinkler: Kein Strom","Разбрызгиватель: Нет питания","喷洒器：无电力"
"STR_LFPG_SPRINKLER_STATUS_NO_WATER","Sprinkler: No water source","Sprinkler: No water source","Aspersor: Sin fuente de agua","Sprinkler: Keine Wasserquelle","Разбрызгиватель: Нет воды","喷洒器：无水源"
"STR_LFPG_SPRINKLER_STATUS_EXHAUSTED","Sprinkler: Water supply exhausted","Sprinkler: Water supply exhausted","Aspersor: Suministro de agua agotado","Sprinkler: Wasservorrat erschöpft","Разбрызгиватель: Запас воды исчерпан","喷洒器：水源耗尽"
"STR_LFPG_SPRINKLER_STATUS_DAMAGED","Sprinkler: Damaged","Sprinkler: Damaged","Aspersor: Dañado","Sprinkler: Beschädigt","Разбрызгиватель: Повреждён","喷洒器：已损坏"
"STR_LFPG_ACTION_CHECK_SPRINKLER","Check Sprinkler","Check Sprinkler","Revisar Aspersor","Sprinkler prüfen","Проверить разбрызгиватель","检查喷洒器"
"STR_LFPG_BatteryAdapterKit","Battery Adapter Kit","Battery Adapter Kit","Kit Adaptador de Batería","Batterieadapter-Kit","Комплект адаптера батареи","电池适配器套件"
"STR_LFPG_BatteryAdapterKit_Desc","A metal cradle that accepts car or truck batteries. Place to deploy.","A metal cradle that accepts car or truck batteries. Place to deploy.","Un soporte metálico que acepta baterías de coche o camión. Colocar para desplegar.","Eine Metallhalterung für Auto- oder LKW-Batterien. Platzieren zum Aufstellen.","Металлическая подставка для автомобильных или грузовых аккумуляторов. Установите для развертывания.","可安装汽车或卡车电池的金属支架。放置以部署。"
"STR_LFPG_BatteryAdapter","Battery Adapter","Battery Adapter","Adaptador de Batería","Batterieadapter","Адаптер батареи","电池适配器"
"STR_LFPG_BatteryAdapter_Desc","Insert a Car Battery (1000u) or Truck Battery (3000u) to store energy. 15/25 chg, 20/35 dis.","Insert a Car Battery (1000u) or Truck Battery (3000u) to store energy. 15/25 chg, 20/35 dis.","Inserta una Batería de Coche (1000u) o Camión (3000u) para almacenar energía. 15/25 carga, 20/35 descarga.","Setzen Sie eine Auto-Batterie (1000u) oder LKW-Batterie (3000u) ein. 15/25 Ladung, 20/35 Entladung.","Вставьте автомобильный (1000ед) или грузовой (3000ед) аккумулятор. 15/25 заряд, 20/35 разряд.","插入汽车电池（1000u）或卡车电池（3000u）来储能。充 15/25，放 20/35。"
"STR_LFPG_ElectricStoveKit","Electric Stove Kit","Electric Stove Kit","Kit de Cocina Eléctrica","Elektroherd-Kit","Набор электроплиты","电炉套件"
"STR_LFPG_ElectricStoveKit_Desc","Kit to deploy an electric stove. Requires power.","Kit to deploy an electric stove. Requires power.","Kit para instalar una cocina eléctrica. Requiere electricidad.","Kit zum Aufstellen eines Elektroherds. Benötigt Strom.","Набор для установки электроплиты. Требуется питание.","用于部署电炉的套件。需要供电。"
"STR_LFPG_ElectricStove","Electric Stove","Electric Stove","Cocina Eléctrica","Elektroherd","Электроплита","电炉"
"STR_LFPG_ElectricStove_Desc","Electric stove with 4 independent burners. Place cookware on top. 10 u/s per active burner.","Electric stove with 4 independent burners. Place cookware on top. 10 u/s per active burner.","Cocina eléctrica con 4 fogones independientes. Pon ollas o sartenes encima. 10 u/s por fogón activo.","Elektroherd mit 4 unabhängigen Kochfeldern. Kochgeschirr oben platzieren. 10 u/s pro aktivem Brenner.","Электроплита с 4 независимыми конфорками. Поставьте посуду сверху. 10 ед/с на активную конфорку.","带 4 个独立灶台的电炉。将锅具放在上面。每个灶台 10 u/s。"
"STR_LFPG_ACTION_TOGGLE_BURNER","Toggle Burner","Toggle Burner","Encender/Apagar Fogón","Brenner umschalten","Переключить конфорку","切换灶台"
"STR_LFPG_BTC_ATM_KIT","BTC ATM Kit","BTC ATM Kit","Kit ATM Bitcoin","BTC ATM Kit","BTC ATM Kit","比特币 ATM 套件"
"STR_LFPG_BTC_ATM_KIT_DESC","A deployable Bitcoin ATM. Requires power.","A deployable Bitcoin ATM. Requires power.","Un cajero Bitcoin desplegable. Requiere electricidad.","A deployable Bitcoin ATM. Requires power.","A deployable Bitcoin ATM. Requires power.","可部署的比特币 ATM。需要供电。"
"STR_LFPG_BTC_ATM","BTC ATM","BTC ATM","Cajero Bitcoin","BTC ATM","BTC ATM","比特币 ATM"
"STR_LFPG_BTC_ATM_DESC","A Bitcoin ATM with live market prices.","A Bitcoin ATM with live market prices.","Un cajero Bitcoin con precios de mercado en vivo.","A Bitcoin ATM with live market prices.","A Bitcoin ATM with live market prices.","带实时市场价格的比特币 ATM。"
"STR_LFPG_BTC_ATM_ADMIN_KIT","BTC ATM Kit (Admin)","BTC ATM Kit (Admin)","Kit ATM Bitcoin (Admin)","BTC ATM Kit (Admin)","BTC ATM Kit (Admin)","比特币 ATM 套件（管理员）"
"STR_LFPG_BTC_ATM_ADMIN_KIT_DESC","Admin Bitcoin ATM. No power required.","Admin Bitcoin ATM. No power required.","Cajero Bitcoin de administrador. Sin electricidad.","Admin Bitcoin ATM. No power required.","Admin Bitcoin ATM. No power required.","管理员比特币 ATM。无需供电。"
"STR_LFPG_BTC_ATM_ADMIN","BTC ATM (Admin)","BTC ATM (Admin)","Cajero Bitcoin (Admin)","BTC ATM (Admin)","BTC ATM (Admin)","比特币 ATM（管理员）"
"STR_LFPG_BTC_ATM_ADMIN_DESC","Admin Bitcoin ATM with live market prices.","Admin Bitcoin ATM with live market prices.","Cajero Bitcoin de administrador con precios de mercado en vivo.","Admin Bitcoin ATM with live market prices.","Admin Bitcoin ATM with live market prices.","带实时市场价格的管理员比特币 ATM。"
"STR_LFPG_ACTION_OPEN_BTC_ATM","Use ATM","Use ATM","Usar Cajero","Use ATM","Use ATM","使用 ATM"
"STR_LFPG_BTC_CARD_PRICE","BTC PRICE","BTC PRICE","PRECIO BTC","BTC PRICE","BTC PRICE","BTC 价格"
"STR_LFPG_BTC_CARD_STOCK","ATM STOCK","ATM STOCK","STOCK ATM","ATM STOCK","ATM STOCK","ATM 库存"
"STR_LFPG_BTC_CARD_BALANCE","YOUR BALANCE","YOUR BALANCE","TU SALDO","YOUR BALANCE","YOUR BALANCE","你的余额"
"STR_LFPG_BTC_CARD_CASH","CASH","CASH","EFECTIVO","CASH","CASH","现金"
"STR_LFPG_BTC_AMOUNT_LABEL","Amount","Amount","Cantidad","Amount","Amount","数量"
"STR_LFPG_BTC_CHK_TO_ACCOUNT","ATM Account (no cash/bitcoin)","ATM Account (no cash/bitcoin)","Cuenta ATM (sin efectivo/bitcoin)","ATM Account (no cash/bitcoin)","ATM Account (no cash/bitcoin)","ATM 账户（无现金/比特币）"
"STR_LFPG_BTC_BTN_BUY","Buy","Buy","Comprar","Buy","Buy","购买"
"STR_LFPG_BTC_BTN_SELL","Sell","Sell","Vender","Sell","Sell","出售"
"STR_LFPG_BTC_BTN_WITHDRAW","Withdraw","Withdraw","Retirar","Withdraw","Withdraw","取款"
"STR_LFPG_BTC_HINT_WITHDRAW","ATM > backpack","ATM > backpack","ATM > mochila","ATM > backpack","ATM > backpack","ATM > 背包"
"STR_LFPG_BTC_BTN_DEPOSIT","Deposit","Deposit","Ingresar","Deposit","Deposit","存款"
"STR_LFPG_BTC_HINT_DEPOSIT","backpack > ATM","backpack > ATM","mochila > ATM","backpack > ATM","backpack > ATM","背包 > ATM"
"STR_LFPG_BTC_ESC_HINT","ESC to close","ESC to close","ESC para cerrar","ESC to close","ESC to close","ESC 关闭"
"STR_LFPG_BTC_WITHDRAW_ONLY","Withdraw only (admin)","Withdraw only (admin)","Solo retiro (admin)","Withdraw only (admin)","Withdraw only (admin)","仅取款（管理员）"
"STR_LFPG_BTC_ERR_EMPTY","Enter BTC amount","Enter BTC amount","Introduce cantidad de BTC","Enter BTC amount","Enter BTC amount","请输入 BTC 数量"
"STR_LFPG_BTC_ERR_PRICE_NA","Price not available","Price not available","Precio no disponible","Price not available","Price not available","价格不可用"
"STR_LFPG_BTC_TX_BUY_OK","Purchase OK: ","Purchase OK: ","Compra OK: ","Purchase OK: ","Purchase OK: ","购买成功："
"STR_LFPG_BTC_TX_SELL_OK","Sale OK: ","Sale OK: ","Venta OK: ","Sale OK: ","Sale OK: ","出售成功："
"STR_LFPG_BTC_TX_WITHDRAW_OK","Withdrawn: ","Withdrawn: ","Retirado: ","Withdrawn: ","Withdrawn: ","已取款："
"STR_LFPG_BTC_TX_DEPOSIT_OK","Deposited: ","Deposited: ","Ingresado: ","Deposited: ","Внесено: ","已存款："
"STR_LFPG_BTC_TX_OK_GENERIC","Operation completed","Operation completed","Operacion completada","Operation completed","Operation completed","操作完成"
"STR_LFPG_BTC_ERR_NO_FUNDS","Insufficient funds","Insufficient funds","Saldo insuficiente","Insufficient funds","Insufficient funds","余额不足"
"STR_LFPG_BTC_ERR_NO_STOCK","No stock in ATM","No stock in ATM","Sin stock en ATM","No stock in ATM","No stock in ATM","ATM 无库存"
"STR_LFPG_BTC_ERR_STOCK_FULL","ATM full","ATM full","ATM lleno","ATM full","ATM full","ATM 已满"
"STR_LFPG_BTC_ERR_NO_ITEMS","No BTC items on you","No BTC items on you","No tienes BTC encima","No BTC items on you","No BTC items on you","你身上没有 BTC"
"STR_LFPG_BTC_ERR_INV_FULL","Inventory full (items on ground)","Inventory full (items on ground)","Inventario lleno (items en suelo)","Inventory full (items on ground)","Inventory full (items on ground)","背包已满（物品在地上）"
"STR_LFPG_BTC_ERR_NO_POWER","ATM has no power","ATM has no power","ATM sin electricidad","ATM has no power","ATM has no power","ATM 无电力"
"STR_LFPG_BTC_ERR_TOO_FAR","Too far from ATM","Too far from ATM","Demasiado lejos del ATM","Too far from ATM","Too far from ATM","离 ATM 太远"
"STR_LFPG_BTC_ERR_UNKNOWN","Unknown error","Unknown error","Error desconocido","Unknown error","Unknown error","未知错误"
"STR_LFPG_BTC_ERR_NO_CASH","Not enough cash on you","Not enough cash on you","No tienes suficiente efectivo","Not enough cash on you","Not enough cash on you","现金不足"
"STR_LFPG_BTC_HINT_BUY","EUR > BTC","EUR > BTC","EUR > BTC","EUR > BTC","EUR > BTC","EUR > BTC"
"STR_LFPG_BTC_HINT_SELL","BTC > EUR","BTC > EUR","BTC > EUR","BTC > EUR","BTC > EUR","BTC > EUR"
"STR_LFPG_BTC_HINT_BUY_CASH","Cash > BTC","Cash > BTC","Efectivo > BTC","Cash > BTC","Cash > BTC","现金 > BTC"
"STR_LFPG_BTC_HINT_SELL_CASH","BTC > Cash","BTC > Cash","BTC > Efectivo","BTC > Cash","BTC > Cash","BTC > 现金"
"STR_LFPG_BTC_HINT_WITHDRAW_CASH","Account > Cash","Account > Cash","Cuenta > Efectivo","Account > Cash","Account > Cash","账户 > 现金"
"STR_LFPG_BTC_HINT_DEPOSIT_CASH","Cash > Account","Cash > Account","Efectivo > Cuenta","Cash > Account","Cash > Account","现金 > 账户"
"STR_LFPG_BTC_TX_WITHDRAW_CASH_OK","Cash withdrawn: ","Cash withdrawn: ","Efectivo retirado: ","Cash withdrawn: ","Cash withdrawn: ","已取现金："
"STR_LFPG_BTC_TX_DEPOSIT_CASH_OK","Cash deposited: ","Cash deposited: ","Efectivo ingresado: ","Cash deposited: ","Cash deposited: ","已存现金："
"STR_LFPG_BTC_TAB_CASH","Cash","Cash","Efectivo","Cash","Cash","现金"
"STR_LFPG_BTC_TAB_ACCOUNT","Account","Account","Cuenta","Account","Account","账户"
"STR_LFPG_BTC_BTN_BUY_BTC","Buy BTC","Buy BTC","Comprar BTC","Buy BTC","Buy BTC","购买 BTC"
"STR_LFPG_BTC_BTN_SELL_BTC","Sell BTC","Sell BTC","Vender BTC","Sell BTC","Sell BTC","出售 BTC"
"STR_LFPG_BTC_BTN_WITHDRAW_EUR","Withdraw EUR","Withdraw EUR","Retirar EUR","Withdraw EUR","Withdraw EUR","取款 EUR"
"STR_LFPG_BTC_BTN_DEPOSIT_EUR","Deposit EUR","Deposit EUR","Ingresar EUR","Deposit EUR","Deposit EUR","存款 EUR"
"STR_LFPG_BTC_BTN_WITHDRAW_BTC","Withdraw BTC","Withdraw BTC","Retirar BTC","Withdraw BTC","Withdraw BTC","取款 BTC"
"STR_LFPG_BTC_BTN_DEPOSIT_BTC","Deposit BTC","Deposit BTC","Ingresar BTC","Deposit BTC","Внести BTC","存款 BTC"
"STR_LFPG_BTC_ERR_EMPTY_EUR","Enter EUR amount","Enter EUR amount","Introduce cantidad de EUR","Enter EUR amount","Enter EUR amount","请输入 EUR 数量"
"STR_LFPG_BTC_ERR_NO_BALANCE","No balance system available","No balance system available","Sistema de balance no disponible","No balance system available","No balance system available","余额系统不可用"
"STR_LFPG_SPEAKER_KIT","Speaker Kit","Speaker Kit","Kit Altavoz","Lautsprecher-Kit","Комплект динамика","扬声器套件"
"STR_LFPG_SPEAKER_KIT_DESC","A PAS speaker. Receives megaphone audio when powered. Place to deploy.","A PAS speaker. Receives megaphone audio when powered. Place to deploy.","Altavoz PAS. Recibe audio de megafonía con energía. Colocar para desplegar.","PAS-Lautsprecher. Empfängt Megafon-Audio bei Stromversorgung. Platzieren zum Aufstellen.","PAS-динамик. Принимает звук мегафона при питании. Установите для развертывания.","PAS 扬声器。通电时接收扩音器音频。放置以部署。"
"STR_LFPG_SPEAKER","Speaker","Speaker","Altavoz","Lautsprecher","Динамик","扬声器"
"STR_LFPG_SPEAKER_DESC","PAS megaphone speaker. Toggle on/off. Receives audio from any PAS broadcaster. 5 u/s.","PAS megaphone speaker. Toggle on/off. Receives audio from any PAS broadcaster. 5 u/s.","Altavoz de megafonía PAS. Encender/Apagar. Recibe audio de cualquier transmisor PAS. 5 u/s.","PAS-Megafon-Lautsprecher. Ein-/Ausschalten. Empfängt Audio von jedem PAS-Sender. 5 E/s.","PAS-мегафонный динамик. Включение/выключение. Принимает аудио от любого PAS-передатчика. 5 ед/с.","PAS 扩音扬声器。开启/关闭。接收任意 PAS 广播器音频。5 u/s。"
"STR_LFPG_ACTION_SPEAKER_ON","Turn ON Speaker","Turn ON Speaker","Encender Altavoz","Lautsprecher einschalten","Включить динамик","开启扬声器"
"STR_LFPG_ACTION_SPEAKER_OFF","Turn OFF Speaker","Turn OFF Speaker","Apagar Altavoz","Lautsprecher ausschalten","Выключить динамик","关闭扬声器"
"STR_LFPG_ACTION_PLACE_SPEAKER","Place Speaker","Place Speaker","Colocar Altavoz","Lautsprecher platzieren","Установить динамик","放置扬声器"
"STR_LFPG_REMOTE_CONTROLLER","Remote Controller","Remote Controller","Mando a Distancia","Fernbedienung","Пульт управления","遥控器"
"STR_LFPG_REMOTE_CONTROLLER_DESC","Pair with RF switches, then activate to toggle them remotely. Range: 200m.","Pair with RF switches, then activate to toggle them remotely. Range: 200m.","Empareja con interruptores RF y actívalos a distancia. Alcance: 200m.","Mit RF-Schaltern koppeln und ferngesteuert umschalten. Reichweite: 200m.","Сопрягите с RF-переключателями, затем переключайте их дистанционно. Дальность: 200м.","与射频开关配对，远程切换。范围：200米。"
"STR_LFPG_ACTION_PAIR_REMOTE","Pair Remote","Pair Remote","Emparejar Mando","Fernbedienung koppeln","Сопрячь пульт","配对遥控器"
"STR_LFPG_ACTION_UNPAIR_REMOTE","Unpair Remote","Unpair Remote","Desemparejar Mando","Fernbedienung entkoppeln","Отвязать пульт","取消配对遥控器"
"STR_LFPG_ACTION_ACTIVATE_REMOTE","Activate Remote","Activate Remote","Activar Mando","Fernbedienung aktivieren","Активировать пульт","激活遥控器"
"STR_LFPG_ACTION_DISMANTLE","Dismantle","Dismantle","Desmontar","Abbauen","Демонтировать","拆卸"
